100 50
1 1 N
1 2 N
1 3 H
1 4 N
1 5 N
1 6 N
1 7 B
1 8 N
1 9 H
1 10 N
1 11 N
1 12 B
1 13 N
1 14 N
1 15 B
1 16 H
1 17 H
1 18 H
1 19 B
1 20 B
1 21 T
1 22 N
1 23 H
1 24 T
1 25 N
1 26 H
1 27 N
1 28 N
1 29 H
1 30 H
1 31 N
1 32 N
1 33 N
1 34 T
1 35 T
1 36 T
1 37 N
1 38 H
1 39 T
1 40 B
1 41 N
1 42 N
1 43 N
1 44 T
1 45 H
1 46 N
1 47 N
1 48 H
1 49 B
1 50 H
2 1 T
2 2 N
2 3 N
2 4 N
2 5 B
2 6 N
2 7 N
2 8 N
2 9 H
2 10 T
2 11 T
2 12 B
2 13 H
2 14 N
2 15 H
2 16 T
2 17 N
2 18 H
2 19 N
2 20 N
2 21 H
2 22 N
2 23 T
2 24 N
2 25 N
2 26 T
2 27 T
2 28 T
2 29 N
2 30 N
2 31 N
2 32 B
2 33 N
2 34 N
2 35 N
2 36 N
2 37 T
2 38 N
2 39 H
2 40 N
2 41 N
2 42 H
2 43 N
2 44 T
2 45 N
2 46 N
2 47 T
2 48 N
2 49 N
2 50 N
3 1 N
3 2 H
3 3 T
3 4 T
3 5 N
3 6 T
3 7 H
3 8 T
3 9 H
3 10 H
3 11 H
3 12 H
3 13 H
3 14 N
3 15 N
3 16 N
3 17 N
3 18 T
3 19 T
3 20 N
3 21 N
3 22 N
3 23 N
3 24 T
3 25 B
3 26 N
3 27 H
3 28 B
3 29 T
3 30 N
3 31 N
3 32 H
3 33 N
3 34 T
3 35 H
3 36 N
3 37 H
3 38 N
3 39 B
3 40 B
3 41 N
3 42 T
3 43 N
3 44 H
3 45 N
3 46 H
3 47 N
3 48 H
3 49 N
3 50 T
4 1 N
4 2 H
4 3 N
4 4 H
4 5 N
4 6 B
4 7 T
4 8 N
4 9 N
4 10 B
4 11 N
4 12 H
4 13 N
4 14 N
4 15 N
4 16 H
4 17 T
4 18 N
4 19 B
4 20 H
4 21 N
4 22 T
4 23 N
4 24 T
4 25 H
4 26 N
4 27 T
4 28 N
4 29 N
4 30 H
4 31 T
4 32 B
4 33 H
4 34 T
4 35 N
4 36 T
4 37 T
4 38 H
4 39 N
4 40 H
4 41 N
4 42 T
4 43 T
4 44 B
4 45 N
4 46 B
4 47 T
4 48 T
4 49 T
4 50 B
5 1 N
5 2 B
5 3 N
5 4 N
5 5 H
5 6 H
5 7 B
5 8 N
5 9 T
5 10 H
5 11 B
5 12 N
5 13 N
5 14 N
5 15 N
5 16 N
5 17 H
5 18 N
5 19 N
5 20 T
5 21 N
5 22 H
5 23 N
5 24 B
5 25 N
5 26 H
5 27 T
5 28 N
5 29 N
5 30 N
5 31 N
5 32 N
5 33 T
5 34 B
5 35 B
5 36 N
5 37 H
5 38 N
5 39 N
5 40 N
5 41 N
5 42 T
5 43 T
5 44 H
5 45 N
5 46 N
5 47 N
5 48 T
5 49 N
5 50 H
6 1 N
6 2 T
6 3 H
6 4 H
6 5 B
6 6 H
6 7 H
6 8 T
6 9 N
6 10 N
6 11 T
6 12 H
6 13 N
6 14 N
6 15 N
6 16 H
6 17 T
6 18 T
6 19 N
6 20 N
6 21 H
6 22 H
6 23 B
6 24 N
6 25 N
6 26 N
6 27 T
6 28 N
6 29 H
6 30 N
6 31 T
6 32 N
6 33 T
6 34 N
6 35 B
6 36 N
6 37 N
6 38 T
6 39 B
6 40 N
6 41 H
6 42 T
6 43 H
6 44 T
6 45 N
6 46 T
6 47 H
6 48 N
6 49 H
6 50 T
7 1 N
7 2 N
7 3 N
7 4 T
7 5 N
7 6 N
7 7 T
7 8 N
7 9 T
7 10 H
7 11 N
7 12 T
7 13 N
7 14 N
7 15 H
7 16 T
7 17 N
7 18 T
7 19 N
7 20 N
7 21 N
7 22 T
7 23 N
7 24 H
7 25 H
7 26 H
7 27 N
7 28 H
7 29 N
7 30 N
7 31 N
7 32 H
7 33 T
7 34 H
7 35 N
7 36 T
7 37 N
7 38 T
7 39 N
7 40 N
7 41 H
7 42 N
7 43 B
7 44 N
7 45 B
7 46 N
7 47 T
7 48 T
7 49 H
7 50 N
8 1 N
8 2 N
8 3 N
8 4 N
8 5 T
8 6 N
8 7 N
8 8 N
8 9 N
8 10 T
8 11 N
8 12 N
8 13 N
8 14 N
8 15 N
8 16 H
8 17 N
8 18 N
8 19 T
8 20 T
8 21 B
8 22 T
8 23 N
8 24 H
8 25 H
8 26 N
8 27 N
8 28 N
8 29 N
8 30 H
8 31 N
8 32 H
8 33 N
8 34 H
8 35 T
8 36 H
8 37 B
8 38 N
8 39 H
8 40 T
8 41 T
8 42 B
8 43 N
8 44 N
8 45 N
8 46 T
8 47 N
8 48 B
8 49 T
8 50 T
9 1 N
9 2 N
9 3 T
9 4 H
9 5 H
9 6 N
9 7 H
9 8 N
9 9 N
9 10 H
9 11 B
9 12 H
9 13 N
9 14 N
9 15 N
9 16 H
9 17 N
9 18 T
9 19 N
9 20 N
9 21 N
9 22 N
9 23 N
9 24 N
9 25 N
9 26 H
9 27 H
9 28 N
9 29 N
9 30 T
9 31 T
9 32 H
9 33 N
9 34 T
9 35 H
9 36 T
9 37 N
9 38 N
9 39 N
9 40 N
9 41 B
9 42 N
9 43 B
9 44 T
9 45 N
9 46 B
9 47 B
9 48 N
9 49 N
9 50 H
10 1 N
10 2 H
10 3 N
10 4 N
10 5 H
10 6 T
10 7 N
10 8 N
10 9 N
10 10 H
10 11 T
10 12 N
10 13 N
10 14 B
10 15 B
10 16 B
10 17 N
10 18 N
10 19 N
10 20 T
10 21 N
10 22 N
10 23 T
10 24 N
10 25 H
10 26 H
10 27 T
10 28 N
10 29 N
10 30 N
10 31 N
10 32 N
10 33 N
10 34 N
10 35 T
10 36 T
10 37 N
10 38 N
10 39 T
10 40 H
10 41 T
10 42 N
10 43 N
10 44 N
10 45 H
10 46 N
10 47 T
10 48 H
10 49 N
10 50 H
11 1 N
11 2 T
11 3 N
11 4 N
11 5 T
11 6 H
11 7 N
11 8 N
11 9 N
11 10 N
11 11 T
11 12 N
11 13 N
11 14 N
11 15 H
11 16 T
11 17 T
11 18 B
11 19 N
11 20 T
11 21 N
11 22 H
11 23 B
11 24 B
11 25 N
11 26 N
11 27 H
11 28 N
11 29 H
11 30 N
11 31 N
11 32 N
11 33 H
11 34 T
11 35 B
11 36 T
11 37 H
11 38 H
11 39 H
11 40 T
11 41 T
11 42 N
11 43 N
11 44 T
11 45 N
11 46 N
11 47 T
11 48 N
11 49 B
11 50 N
12 1 H
12 2 T
12 3 B
12 4 N
12 5 N
12 6 N
12 7 T
12 8 H
12 9 T
12 10 T
12 11 N
12 12 B
12 13 N
12 14 H
12 15 B
12 16 B
12 17 N
12 18 N
12 19 N
12 20 T
12 21 B
12 22 N
12 23 N
12 24 N
12 25 N
12 26 N
12 27 N
12 28 H
12 29 T
12 30 T
12 31 B
12 32 H
12 33 H
12 34 H
12 35 N
12 36 T
12 37 N
12 38 N
12 39 N
12 40 N
12 41 T
12 42 T
12 43 N
12 44 H
12 45 B
12 46 N
12 47 H
12 48 N
12 49 T
12 50 T
13 1 N
13 2 N
13 3 T
13 4 N
13 5 N
13 6 B
13 7 N
13 8 T
13 9 N
13 10 H
13 11 H
13 12 N
13 13 T
13 14 B
13 15 N
13 16 H
13 17 H
13 18 N
13 19 B
13 20 N
13 21 N
13 22 N
13 23 N
13 24 N
13 25 N
13 26 N
13 27 T
13 28 N
13 29 H
13 30 N
13 31 N
13 32 B
13 33 B
13 34 T
13 35 H
13 36 H
13 37 H
13 38 T
13 39 N
13 40 N
13 41 N
13 42 N
13 43 N
13 44 N
13 45 H
13 46 T
13 47 N
13 48 N
13 49 N
13 50 N
14 1 T
14 2 B
14 3 H
14 4 B
14 5 N
14 6 T
14 7 T
14 8 N
14 9 N
14 10 N
14 11 T
14 12 N
14 13 N
14 14 B
14 15 N
14 16 H
14 17 N
14 18 B
14 19 T
14 20 N
14 21 N
14 22 T
14 23 B
14 24 N
14 25 N
14 26 T
14 27 H
14 28 N
14 29 N
14 30 N
14 31 N
14 32 N
14 33 H
14 34 B
14 35 H
14 36 N
14 37 N
14 38 H
14 39 N
14 40 N
14 41 H
14 42 N
14 43 N
14 44 H
14 45 N
14 46 B
14 47 N
14 48 N
14 49 B
14 50 N
15 1 N
15 2 N
15 3 H
15 4 N
15 5 H
15 6 N
15 7 T
15 8 N
15 9 H
15 10 T
15 11 N
15 12 N
15 13 N
15 14 B
15 15 N
15 16 N
15 17 B
15 18 N
15 19 N
15 20 T
15 21 H
15 22 N
15 23 B
15 24 N
15 25 N
15 26 T
15 27 T
15 28 T
15 29 N
15 30 H
15 31 T
15 32 N
15 33 H
15 34 N
15 35 N
15 36 N
15 37 N
15 38 N
15 39 H
15 40 T
15 41 N
15 42 H
15 43 N
15 44 B
15 45 T
15 46 H
15 47 B
15 48 N
15 49 N
15 50 N
16 1 T
16 2 B
16 3 T
16 4 H
16 5 T
16 6 N
16 7 N
16 8 H
16 9 N
16 10 N
16 11 N
16 12 T
16 13 H
16 14 B
16 15 N
16 16 T
16 17 H
16 18 N
16 19 N
16 20 T
16 21 N
16 22 B
16 23 B
16 24 N
16 25 H
16 26 T
16 27 N
16 28 N
16 29 B
16 30 N
16 31 N
16 32 N
16 33 N
16 34 H
16 35 B
16 36 B
16 37 H
16 38 H
16 39 B
16 40 T
16 41 H
16 42 T
16 43 T
16 44 H
16 45 N
16 46 N
16 47 T
16 48 B
16 49 N
16 50 N
17 1 H
17 2 B
17 3 B
17 4 T
17 5 N
17 6 N
17 7 T
17 8 T
17 9 N
17 10 H
17 11 N
17 12 N
17 13 N
17 14 H
17 15 N
17 16 T
17 17 N
17 18 T
17 19 H
17 20 T
17 21 T
17 22 N
17 23 N
17 24 H
17 25 T
17 26 N
17 27 N
17 28 N
17 29 N
17 30 N
17 31 H
17 32 B
17 33 N
17 34 N
17 35 N
17 36 T
17 37 T
17 38 H
17 39 H
17 40 N
17 41 N
17 42 N
17 43 N
17 44 N
17 45 H
17 46 N
17 47 N
17 48 B
17 49 N
17 50 B
18 1 H
18 2 N
18 3 N
18 4 H
18 5 N
18 6 N
18 7 N
18 8 H
18 9 H
18 10 N
18 11 N
18 12 H
18 13 B
18 14 T
18 15 T
